Date,Year,MonthNumber,Month,YearMonth
"lunes, 1 de enero de 2024",2024,1,enero,2024-01
"martes, 2 de enero de 2024",2024,1,enero,2024-01
"miércoles, 3 de enero de 2024",2024,1,enero,2024-01
"jueves, 4 de enero de 2024",2024,1,enero,2024-01
"viernes, 5 de enero de 2024",2024,1,enero,2024-01
"sábado, 6 de enero de 2024",2024,1,enero,2024-01
"domingo, 7 de enero de 2024",2024,1,enero,2024-01
"lunes, 8 de enero de 2024",2024,1,enero,2024-01
"martes, 9 de enero de 2024",2024,1,enero,2024-01
"miércoles, 10 de enero de 2024",2024,1,enero,2024-01
"jueves, 11 de enero de 2024",2024,1,enero,2024-01
"viernes, 12 de enero de 2024",2024,1,enero,2024-01
"sábado, 13 de enero de 2024",2024,1,enero,2024-01
"domingo, 14 de enero de 2024",2024,1,enero,2024-01
"lunes, 15 de enero de 2024",2024,1,enero,2024-01
"martes, 16 de enero de 2024",2024,1,enero,2024-01
"miércoles, 17 de enero de 2024",2024,1,enero,2024-01
"jueves, 18 de enero de 2024",2024,1,enero,2024-01
"viernes, 19 de enero de 2024",2024,1,enero,2024-01
"sábado, 20 de enero de 2024",2024,1,enero,2024-01
"domingo, 21 de enero de 2024",2024,1,enero,2024-01
"lunes, 22 de enero de 2024",2024,1,enero,2024-01
"martes, 23 de enero de 2024",2024,1,enero,2024-01
"miércoles, 24 de enero de 2024",2024,1,enero,2024-01
"jueves, 25 de enero de 2024",2024,1,enero,2024-01
"viernes, 26 de enero de 2024",2024,1,enero,2024-01
"sábado, 27 de enero de 2024",2024,1,enero,2024-01
"domingo, 28 de enero de 2024",2024,1,enero,2024-01
"lunes, 29 de enero de 2024",2024,1,enero,2024-01
"martes, 30 de enero de 2024",2024,1,enero,2024-01
"miércoles, 31 de enero de 2024",2024,1,enero,2024-01
"jueves, 1 de febrero de 2024",2024,2,febrero,2024-02
"viernes, 2 de febrero de 2024",2024,2,febrero,2024-02
"sábado, 3 de febrero de 2024",2024,2,febrero,2024-02
"domingo, 4 de febrero de 2024",2024,2,febrero,2024-02
"lunes, 5 de febrero de 2024",2024,2,febrero,2024-02
"martes, 6 de febrero de 2024",2024,2,febrero,2024-02
"miércoles, 7 de febrero de 2024",2024,2,febrero,2024-02
"jueves, 8 de febrero de 2024",2024,2,febrero,2024-02
"viernes, 9 de febrero de 2024",2024,2,febrero,2024-02
"sábado, 10 de febrero de 2024",2024,2,febrero,2024-02
"domingo, 11 de febrero de 2024",2024,2,febrero,2024-02
"lunes, 12 de febrero de 2024",2024,2,febrero,2024-02
"martes, 13 de febrero de 2024",2024,2,febrero,2024-02
"miércoles, 14 de febrero de 2024",2024,2,febrero,2024-02
"jueves, 15 de febrero de 2024",2024,2,febrero,2024-02
"viernes, 16 de febrero de 2024",2024,2,febrero,2024-02
"sábado, 17 de febrero de 2024",2024,2,febrero,2024-02
"domingo, 18 de febrero de 2024",2024,2,febrero,2024-02
"lunes, 19 de febrero de 2024",2024,2,febrero,2024-02
"martes, 20 de febrero de 2024",2024,2,febrero,2024-02
"miércoles, 21 de febrero de 2024",2024,2,febrero,2024-02
"jueves, 22 de febrero de 2024",2024,2,febrero,2024-02
"viernes, 23 de febrero de 2024",2024,2,febrero,2024-02
"sábado, 24 de febrero de 2024",2024,2,febrero,2024-02
"domingo, 25 de febrero de 2024",2024,2,febrero,2024-02
"lunes, 26 de febrero de 2024",2024,2,febrero,2024-02
"martes, 27 de febrero de 2024",2024,2,febrero,2024-02
"miércoles, 28 de febrero de 2024",2024,2,febrero,2024-02
"jueves, 29 de febrero de 2024",2024,2,febrero,2024-02
"viernes, 1 de marzo de 2024",2024,3,marzo,2024-03
"sábado, 2 de marzo de 2024",2024,3,marzo,2024-03
"domingo, 3 de marzo de 2024",2024,3,marzo,2024-03
"lunes, 4 de marzo de 2024",2024,3,marzo,2024-03
"martes, 5 de marzo de 2024",2024,3,marzo,2024-03
"miércoles, 6 de marzo de 2024",2024,3,marzo,2024-03
"jueves, 7 de marzo de 2024",2024,3,marzo,2024-03
"viernes, 8 de marzo de 2024",2024,3,marzo,2024-03
"sábado, 9 de marzo de 2024",2024,3,marzo,2024-03
"domingo, 10 de marzo de 2024",2024,3,marzo,2024-03
"lunes, 11 de marzo de 2024",2024,3,marzo,2024-03
"martes, 12 de marzo de 2024",2024,3,marzo,2024-03
"miércoles, 13 de marzo de 2024",2024,3,marzo,2024-03
"jueves, 14 de marzo de 2024",2024,3,marzo,2024-03
"viernes, 15 de marzo de 2024",2024,3,marzo,2024-03
"sábado, 16 de marzo de 2024",2024,3,marzo,2024-03
"domingo, 17 de marzo de 2024",2024,3,marzo,2024-03
"lunes, 18 de marzo de 2024",2024,3,marzo,2024-03
"martes, 19 de marzo de 2024",2024,3,marzo,2024-03
"miércoles, 20 de marzo de 2024",2024,3,marzo,2024-03
"jueves, 21 de marzo de 2024",2024,3,marzo,2024-03
"viernes, 22 de marzo de 2024",2024,3,marzo,2024-03
